Agent ID,Episode Number,Episode Score,Actor Learning Rate,Critic Learning Rate,Discount Factor,Entropy Coefficient,Actor Loss,Critic loss
3,330,48.0,0.001123,0.000443,1,0.001018,9.379279136657715,53.974544525146484
2,340,26.0,0.0009,0.0007,0.8556,0.001,-0.33680060505867004,0.31649962067604065
2,341,22.0,0.0009,0.0007,0.8556,0.001,-0.2075125128030777,0.26734888553619385
3,331,55.0,0.001123,0.000443,1,0.001018,11.774494171142578,72.60419464111328
1,326,109.0,0.001123,0.000443,1,0.001018,31.06336212158203,342.0511169433594
3,332,57.0,0.001123,0.000443,1,0.001018,10.777809143066406,79.1688003540039
2,342,81.0,0.0009,0.0007,0.8556,0.001,0.6200916767120361,0.2315775454044342
1,327,55.0,0.001123,0.000443,1,0.001018,12.30720329284668,75.04122924804688
3,333,46.0,0.001123,0.000443,1,0.001018,10.047372817993164,47.78240203857422
2,343,27.0,0.0009,0.0007,0.8556,0.001,-0.03381570428609848,0.22621189057826996
3,334,25.0,0.001123,0.000443,1,0.001018,3.664959669113159,10.860041618347168
1,328,45.0,0.001123,0.000443,1,0.001018,11.272089958190918,46.212223052978516
2,344,22.0,0.0009,0.0007,0.8556,0.001,-0.36106038093566895,0.24373923242092133
1,329,28.0,0.001123,0.000443,1,0.001018,5.402744293212891,14.194951057434082
2,345,27.0,0.0009,0.0007,0.8556,0.001,-0.21970322728157043,0.29751017689704895
3,335,42.0,0.001123,0.000443,1,0.001018,7.740146636962891,37.34282684326172
1,330,36.0,0.001123,0.000443,1,0.001018,7.4023003578186035,27.01136589050293
2,346,40.0,0.0009,0.0007,0.8556,0.001,-0.17016257345676422,0.421127051115036
2,347,23.0,0.0009,0.0007,0.8556,0.001,-0.0854671373963356,0.23073796927928925
3,336,55.0,0.001123,0.000443,1,0.001018,11.442413330078125,73.00934600830078
1,331,37.0,0.001123,0.000443,1,0.001018,8.429784774780273,27.901294708251953
1,332,39.0,0.001123,0.000443,1,0.001018,9.183674812316895,32.17402267456055
3,337,55.0,0.001123,0.000443,1,0.001018,12.950289726257324,72.01990509033203
2,348,68.0,0.0009,0.0007,0.8556,0.001,0.40223169326782227,0.16670797765254974
1,333,57.0,0.001123,0.000443,1,0.001018,12.270209312438965,81.7732925415039
2,349,30.0,0.0009,0.0007,0.8556,0.001,0.06619018316268921,0.2321968525648117
1,334,41.0,0.001123,0.000443,1,0.001018,9.093342781066895,36.34507751464844
3,338,105.0,0.001123,0.000443,1,0.001018,27.674055099487305,307.7852783203125
1,335,65.0,0.001123,0.000443,1,0.001018,14.912540435791016,109.6406478881836
1,336,42.0,0.001123,0.000443,1,0.001018,7.475677013397217,39.82473373413086
3,339,116.0,0.001123,0.000443,1,0.001018,25.771696090698242,382.6063232421875
1,337,51.0,0.001123,0.000443,1,0.001018,11.044492721557617,61.460548400878906
3,340,66.0,0.001123,0.000443,1,0.001018,14.38198471069336,111.63679504394531
1,338,48.0,0.001123,0.000443,1,0.001018,9.062459945678711,52.55537796020508
3,341,54.0,0.001123,0.000443,1,0.001018,9.798907279968262,70.25508880615234
1,339,54.0,0.001123,0.000443,1,0.001018,11.69446086883545,72.34944915771484
3,342,41.0,0.001123,0.000443,1,0.001018,7.749482154846191,36.354976654052734
3,343,31.0,0.001123,0.000443,1,0.001018,5.121020317077637,16.98371696472168
1,340,122.0,0.001123,0.000443,1,0.001018,29.19268035888672,425.98760986328125
3,344,69.0,0.001123,0.000443,1,0.001018,16.38297462463379,122.1951904296875
1,341,42.0,0.001123,0.000443,1,0.001018,7.7828192710876465,38.50608825683594
3,345,47.0,0.001123,0.000443,1,0.001018,9.046920776367188,50.75874710083008
1,342,44.0,0.001123,0.000443,1,0.001018,9.79154109954834,42.08579635620117
1,343,40.0,0.001123,0.000443,1,0.001018,8.371691703796387,33.55537033081055
3,346,84.0,0.001123,0.000443,1,0.001018,19.420785903930664,189.7483673095703
3,347,44.0,0.001123,0.000443,1,0.001018,8.72665023803711,41.695430755615234
1,344,57.0,0.001123,0.000443,1,0.001018,12.967928886413574,79.49736785888672
3,348,36.0,0.001123,0.000443,1,0.001018,6.898414611816406,24.88582992553711
1,345,60.0,0.001123,0.000443,1,0.001018,13.556385040283203,89.4303207397461
3,349,80.0,0.001123,0.000443,1,0.001018,15.673110961914062,167.20533752441406
1,346,91.0,0.001123,0.000443,1,0.001018,21.813255310058594,226.25218200683594
1,347,33.0,0.001123,0.000443,1,0.001018,5.398806571960449,20.973834991455078
1,348,45.0,0.001123,0.000443,1,0.001018,9.259008407592773,44.25056076049805
1,349,110.0,0.001123,0.000443,1,0.001018,27.06748390197754,340.61541748046875
2,350,31.0,0.0009,0.0007,0.8556,0.001,-0.05980740860104561,0.2831961512565613
2,351,34.0,0.0009,0.0007,0.8556,0.001,0.2252407819032669,0.22364334762096405
1,350,30.0,0.000917,0.00046,1,0.000957,5.798474311828613,15.474791526794434
3,350,113.0,0.000917,0.00046,1,0.000957,30.920578002929688,363.1163330078125
2,352,87.0,0.0009,0.0007,0.8556,0.001,0.24436962604522705,0.22315926849842072
1,351,115.0,0.000917,0.00046,1,0.000957,28.24131202697754,379.3725891113281
2,353,27.0,0.0009,0.0007,0.8556,0.001,-0.09097480028867722,0.23503999412059784
1,352,46.0,0.000917,0.00046,1,0.000957,9.394158363342285,46.761837005615234
3,351,71.0,0.000917,0.00046,1,0.000957,16.208669662475586,130.5516815185547
1,353,41.0,0.000917,0.00046,1,0.000957,7.5914106369018555,34.888450622558594
3,352,47.0,0.000917,0.00046,1,0.000957,9.459768295288086,48.11483383178711
2,354,108.0,0.0009,0.0007,0.8556,0.001,0.42789408564567566,0.2759099006652832
2,355,20.0,0.0009,0.0007,0.8556,0.001,-0.9705727696418762,0.44468170404434204
2,356,29.0,0.0009,0.0007,0.8556,0.001,-0.4758712947368622,0.27523598074913025
3,353,96.0,0.000917,0.00046,1,0.000957,23.38791275024414,250.77354431152344
2,357,34.0,0.0009,0.0007,0.8556,0.001,0.02618156559765339,0.19180046021938324
1,354,121.0,0.000917,0.00046,1,0.000957,32.4883918762207,419.5365295410156
2,358,30.0,0.0009,0.0007,0.8556,0.001,-0.16063252091407776,0.22416682541370392
2,359,26.0,0.0009,0.0007,0.8556,0.001,-0.3780261278152466,0.30301615595817566
1,355,76.0,0.000917,0.00046,1,0.000957,16.175926208496094,147.862548828125
2,360,28.0,0.0009,0.0007,0.8556,0.001,-0.4614400565624237,0.24341987073421478
2,361,47.0,0.0009,0.0007,0.8556,0.001,0.13559386134147644,0.20018425583839417
1,356,51.0,0.000917,0.00046,1,0.000957,9.922738075256348,59.149635314941406
3,354,136.0,0.000917,0.00046,1,0.000957,34.21946716308594,533.2217407226562
1,357,33.0,0.000917,0.00046,1,0.000957,7.7891435623168945,19.122512817382812
3,355,51.0,0.000917,0.00046,1,0.000957,10.890153884887695,58.49646759033203
2,362,78.0,0.0009,0.0007,0.8556,0.001,-0.07684062421321869,0.294619083404541
1,358,39.0,0.000917,0.00046,1,0.000957,6.590381145477295,30.695388793945312
2,363,23.0,0.0009,0.0007,0.8556,0.001,-0.3241331875324249,0.26635199785232544
1,359,36.0,0.000917,0.00046,1,0.000957,6.501031875610352,24.57234001159668
3,356,71.0,0.000917,0.00046,1,0.000957,14.662548065185547,124.50569915771484
2,364,37.0,0.0009,0.0007,0.8556,0.001,0.30083394050598145,0.22150567173957825
2,365,16.0,0.0009,0.0007,0.8556,0.001,-0.37639403343200684,0.2616834342479706
3,357,71.0,0.000917,0.00046,1,0.000957,14.809369087219238,125.63097381591797
2,366,52.0,0.0009,0.0007,0.8556,0.001,0.29875805974006653,0.20386312901973724
1,360,96.0,0.000917,0.00046,1,0.000957,22.52812957763672,251.51231384277344
3,358,55.0,0.000917,0.00046,1,0.000957,12.327234268188477,70.48900604248047
2,367,55.0,0.0009,0.0007,0.8556,0.001,0.2822873592376709,0.17986291646957397
2,368,23.0,0.0009,0.0007,0.8556,0.001,-0.09847904741764069,0.2645971179008484
1,361,78.0,0.000917,0.00046,1,0.000957,16.856138229370117,156.69778442382812
2,369,30.0,0.0009,0.0007,0.8556,0.001,0.01777901127934456,0.20938868820667267
2,370,20.0,0.0009,0.0007,0.8556,0.001,-0.38566941022872925,0.23088298738002777
3,359,108.0,0.000917,0.00046,1,0.000957,28.100500106811523,319.96075439453125
1,362,101.0,0.000917,0.00046,1,0.000957,22.359731674194336,280.1279296875
2,371,57.0,0.0009,0.0007,0.8556,0.001,0.35038790106773376,0.22688554227352142
3,360,40.0,0.000917,0.00046,1,0.000957,7.977386474609375,30.997404098510742
1,363,56.0,0.000917,0.00046,1,0.000957,12.955503463745117,71.05803680419922
3,361,45.0,0.000917,0.00046,1,0.000957,8.736501693725586,41.88996505737305
2,372,61.0,0.0009,0.0007,0.8556,0.001,0.23314222693443298,0.24065940082073212
3,362,39.0,0.000917,0.00046,1,0.000957,7.146176815032959,29.547428131103516
2,373,75.0,0.0009,0.0007,0.8556,0.001,-0.1309577375650406,0.2575070559978485
3,363,49.0,0.000917,0.00046,1,0.000957,9.944664001464844,52.14908981323242
3,364,24.0,0.000917,0.00046,1,0.000957,3.340039014816284,7.820537090301514
2,374,41.0,0.0009,0.0007,0.8556,0.001,0.2563309073448181,0.18641383945941925
1,364,200.0,0.000917,0.00046,1,0.000957,47.620574951171875,1191.6612548828125
3,365,122.0,0.000917,0.00046,1,0.000957,31.125965118408203,425.5031433105469
2,375,80.0,0.0009,0.0007,0.8556,0.001,0.48018985986709595,0.16723327338695526
2,376,33.0,0.0009,0.0007,0.8556,0.001,-0.22427068650722504,0.19426730275154114
3,366,40.0,0.000917,0.00046,1,0.000957,8.297139167785645,31.29781150817871
1,365,94.0,0.000917,0.00046,1,0.000957,20.37407875061035,235.7938232421875
3,367,52.0,0.000917,0.00046,1,0.000957,9.887434005737305,60.5072135925293
1,366,78.0,0.000917,0.00046,1,0.000957,16.646333694458008,153.37509155273438
2,377,138.0,0.0009,0.0007,0.8556,0.001,0.464531272649765,0.19953344762325287
3,368,84.0,0.000917,0.00046,1,0.000957,19.63666343688965,185.70957946777344
1,367,54.0,0.000917,0.00046,1,0.000957,12.037603378295898,63.917510986328125
3,369,99.0,0.000917,0.00046,1,0.000957,23.25579833984375,269.5836486816406
1,368,122.0,0.000917,0.00046,1,0.000957,29.979694366455078,422.6994323730469
3,370,43.0,0.000917,0.00046,1,0.000957,8.988926887512207,36.79833984375
2,378,191.0,0.0009,0.0007,0.8556,0.001,0.14609858393669128,0.17025400698184967
2,379,28.0,0.0009,0.0007,0.8556,0.001,-0.11126423627138138,0.21762965619564056
1,369,72.0,0.000917,0.00046,1,0.000957,14.759791374206543,126.0081558227539
2,380,24.0,0.0009,0.0007,0.8556,0.001,-1.3752535581588745,0.47453823685646057
1,370,32.0,0.000917,0.00046,1,0.000957,6.125831127166748,17.41755485534668
3,371,137.0,0.000917,0.00046,1,0.000957,32.63411331176758,534.9048461914062
1,371,41.0,0.000917,0.00046,1,0.000957,9.29526138305664,30.916563034057617
3,372,58.0,0.000917,0.00046,1,0.000957,12.179227828979492,77.81714630126953
2,381,100.0,0.0009,0.0007,0.8556,0.001,0.5627423524856567,0.18971215188503265
1,372,55.0,0.000917,0.00046,1,0.000957,11.710424423217773,67.27091979980469
1,373,39.0,0.000917,0.00046,1,0.000957,6.840450286865234,28.686969757080078
3,373,71.0,0.000917,0.00046,1,0.000957,15.850984573364258,124.36356353759766
2,382,58.0,0.0009,0.0007,0.8556,0.001,0.25195038318634033,0.15836654603481293
1,374,48.0,0.000917,0.00046,1,0.000957,8.620335578918457,49.075809478759766
2,383,71.0,0.0009,0.0007,0.8556,0.001,0.2966887056827545,0.1830531358718872
